Date;ls_vnindex;ls_US;ls_EU;ls_TQ;ls_TL;ls_SI;fx_US;fx_EU;fx_TQ;fx_TL ;fx_SI;cpi_ US;cpi_ EU;cpi_ TQ;cpi_ TL;cpi_ SI;M2_US;M2_EU;M2_TQ;M2_SI
02/01/2001;2,69%;5,49%;5,02%;3,24%;1,50%;1,76%;0,13%;-1,26%;-1,26%;-1,26%;0,06%;3,72%;2,10%;0,00%;1,44%;1,31%;0,77%;0,53%;-0,97%;0,21%
03/01/2001;6,70%;5,31%;4,94%;3,24%;1,50%;2,11%;-0,14%;-5,03%;-5,02%;-4,41%;-3,52%;3,53%;2,08%;0,80%;1,44%;1,85%;1,15%;0,45%;1,86%;0,92%
04/01/2001;19,22%;4,80%;5,10%;3,24%;1,50%;2,13%;0,15%;1,28%;1,28%;-1,22%;-0,72%;2,98%;2,26%;1,60%;2,53%;1,98%;1,26%;0,68%;0,87%;0,64%
05/01/2001;25,91%;4,21%;5,26%;3,24%;1,50%;2,15%;0,65%;-4,12%;-4,12%;1,26%;1,31%;3,22%;2,77%;1,70%;2,77%;1,93%;-0,06%;0,39%;-0,67%;-0,57%
06/01/2001;23,75%;3,97%;5,21%;3,24%;2,50%;2,14%;1,25%;1,73%;1,74%;1,41%;0,49%;3,56%;3,12%;1,40%;2,16%;1,21%;0,79%;0,86%;6,33%;-0,83%
07/01/2001;-15,56%;3,77%;5,25%;3,24%;2,50%;2,15%;0,67%;3,77%;3,77%;-0,26%;1,77%;3,19%;2,93%;1,50%;2,16%;1,30%;0,58%;0,29%;0,96%;-2,07%
08/01/2001;-34,34%;3,65%;5,06%;3,24%;2,50%;2,10%;0,33%;4,48%;4,48%;4,14%;3,97%;2,72%;2,60%;1,00%;1,43%;0,71%;0,65%;0,46%;0,48%;0,26%
09/01/2001;-11,87%;3,07%;5,04%;3,24%;2,50%;1,67%;0,07%;-0,02%;-0,02%;-0,83%;-1,40%;2,72%;2,44%;-0,10%;1,31%;0,55%;2,12%;0,71%;1,25%;1,76%
10/01/2001;6,48%;2,49%;4,82%;3,24%;2,50%;0,65%;0,19%;-1,12%;-1,12%;-0,39%;-2,96%;2,59%;2,27%;0,20%;1,31%;0,22%;-0,21%;0,44%;-0,21%;0,47%
11/01/2001;10,85%;2,09%;4,67%;3,24%;2,50%;1,16%;0,23%;-0,12%;-0,13%;2,00%;-0,21%;2,13%;2,31%;-0,30%;0,95%;-0,21%;0,82%;0,77%;1,71%;3,06%
12/01/2001;-18,41%;1,82%;4,96%;3,24%;2,25%;1,15%;0,11%;-0,51%;-0,51%;-0,57%;-0,72%;1,89%;2,03%;-0,30%;0,72%;-0,59%;0,98%;0,58%;2,73%;-0,12%
01/01/2002;-11,83%;1,73%;5,02%;3,24%;2,00%;0,97%;0,09%;-3,56%;-3,56%;0,47%;0,42%;1,60%;2,10%;-1,01%;0,83%;-1,10%;0,37%;0,64%;0,86%;-0,78%
02/01/2002;-7,93%;1,74%;5,07%;2,70%;2,00%;0,93%;0,13%;1,30%;1,30%;1,03%;0,65%;1,20%;2,64%;-0,02%;0,36%;-0,62%;0,54%;0,11%;0,79%;0,11%
03/01/2002;4,74%;1,73%;5,32%;2,70%;2,00%;0,94%;0,32%;0,69%;0,68%;0,80%;-0,26%;1,14%;2,50%;-0,73%;0,59%;-0,89%;0,22%;0,25%;1,94%;1,61%
04/01/2002;4,16%;1,75%;5,30%;2,70%;2,00%;1,00%;0,20%;3,48%;3,48%;0,72%;1,66%;1,36%;2,53%;-1,22%;0,47%;-1,06%;0,00%;0,76%;0,31%;-1,01%
05/01/2002;-0,65%;1,75%;5,30%;2,70%;2,00%;0,97%;0,19%;3,96%;3,97%;2,33%;1,68%;1,64%;2,37%;-1,02%;0,23%;-0,34%;0,47%;0,46%;0,91%;-0,49%
06/01/2002;-2,44%;1,75%;5,16%;2,70%;2,00%;0,93%;0,16%;6,30%;6,30%;2,13%;1,38%;1,24%;2,08%;-0,72%;0,35%;0,14%;0,45%;0,36%;2,13%;-0,22%
07/01/2002;-2,22%;1,73%;5,03%;2,70%;2,00%;0,80%;0,30%;-1,08%;-1,07%;-0,89%;0,55%;1,07%;1,88%;-0,92%;0,24%;-0,43%;0,77%;0,54%;0,74%;-0,38%
08/01/2002;-2,99%;1,74%;4,73%;2,70%;2,00%;0,83%;0,07%;0,50%;0,50%;-0,44%;0,84%;1,47%;2,02%;-0,72%;0,35%;-0,44%;0,76%;0,50%;1,40%;-1,05%
09/01/2002;-4,97%;1,75%;4,52%;2,70%;2,00%;1,20%;0,09%;0,58%;0,57%;-2,30%;-1,55%;1,75%;2,16%;-0,63%;0,47%;-0,42%;0,43%;0,74%;2,15%;-0,15%
10/01/2002;-2,48%;1,75%;4,62%;2,70%;2,00%;0,95%;0,11%;0,50%;0,50%;0,02%;0,72%;1,52%;2,14%;-0,73%;1,53%;-0,20%;0,79%;0,54%;0,18%;0,63%
11/01/2002;0,15%;1,34%;4,59%;2,70%;1,75%;0,83%;0,14%;0,54%;0,53%;-0,27%;0,30%;2,03%;2,29%;-0,63%;1,30%;0,23%;0,88%;0,90%;1,38%;1,06%
12/01/2002;3,07%;1,24%;4,41%;2,70%;1,75%;0,82%;0,11%;5,67%;5,65%;0,96%;1,88%;2,25%;2,28%;-0,43%;1,66%;0,44%;0,37%;0,50%;2,93%;0,38%
01/01/2003;-5,97%;1,24%;4,27%;2,70%;1,75%;0,78%;0,19%;2,79%;2,79%;0,98%;0,11%;2,48%;2,31%;0,37%;2,24%;0,87%;0,56%;0,14%;2,80%;0,68%
02/01/2003;-4,51%;1,26%;4,06%;2,70%;1,75%;0,00%;-0,01%;0,26%;0,28%;0,00%;-0,04%;2,76%;2,15%;0,17%;2,00%;0,39%;0,62%;0,94%;-0,04%;0,30%
03/01/2003;-11,66%;1,25%;4,13%;2,70%;1,75%;0,00%;0,16%;1,35%;1,35%;0,05%;-1,39%;3,15%;2,39%;0,88%;1,76%;0,77%;0,35%;0,63%;2,30%;0,79%
04/01/2003;4,90%;1,26%;4,23%;2,70%;1,75%;0,00%;0,07%;2,45%;2,45%;0,18%;-0,46%;3,03%;2,42%;0,98%;1,52%;0,86%;0,64%;0,96%;0,84%;0,51%
05/01/2003;-0,20%;1,26%;3,92%;2,70%;1,75%;0,00%;0,06%;5,44%;5,44%;2,63%;2,44%;2,18%;2,10%;0,57%;1,87%;-0,09%;1,03%;0,81%;1,72%;-0,07%
06/01/2003;0,02%;1,22%;3,72%;2,70%;3,00%;0,64%;0,15%;-2,21%;-2,21%;-0,75%;-1,46%;1,89%;1,86%;0,27%;1,64%;-0,33%;0,62%;0,15%;2,72%;0,17%
07/01/2003;-3,91%;1,01%;4,06%;2,70%;1,25%;0,66%;0,11%;-2,32%;-2,32%;0,37%;0,13%;1,95%;2,03%;0,47%;1,76%;0,27%;0,78%;0,53%;0,62%;0,58%
08/01/2003;-2,47%;1,03%;4,20%;2,70%;1,25%;0,82%;0,04%;-2,20%;-2,19%;2,08%;0,53%;2,06%;1,98%;0,87%;2,22%;0,46%;0,96%;0,73%;2,13%;0,12%
09/01/2003;-2,38%;1,01%;4,23%;2,70%;1,25%;0,78%;0,22%;6,43%;6,43%;3,01%;1,48%;2,22%;2,06%;1,07%;1,75%;0,69%;-0,46%;0,13%;1,41%;-0,44%
10/01/2003;-2,23%;1,01%;4,31%;2,70%;1,25%;0,82%;0,57%;-0,09%;-0,09%;0,77%;-0,01%;2,38%;2,17%;1,78%;1,28%;0,65%;-0,15%;0,64%;0,42%;3,75%
11/01/2003;20,31%;1,00%;4,44%;2,70%;1,25%;0,91%;-0,10%;3,43%;3,42%;-0,04%;0,84%;2,04%;2,08%;2,90%;1,86%;0,56%;0,09%;0,33%;0,88%;0,72%
12/01/2003;1,87%;0,98%;4,36%;2,70%;1,25%;0,83%;0,10%;5,07%;5,07%;0,86%;1,60%;1,93%;2,19%;3,21%;1,75%;0,75%;-0,03%;0,40%;2,25%;0,70%
01/01/2004;28,38%;1,00%;4,26%;2,70%;1,25%;0,84%;0,34%;-0,60%;-0,60%;1,28%;0,59%;2,04%;2,02%;3,21%;1,27%;0,67%;0,14%;0,41%;1,75%;2,88%
02/01/2004;21,59%;1,01%;4,18%;2,70%;1,25%;0,75%;0,38%;0,55%;0,55%;0,32%;0,14%;2,03%;1,83%;2,08%;2,20%;2,02%;0,64%;0,41%;0,87%;0,27%
03/01/2004;6,46%;1,00%;4,02%;2,70%;1,25%;0,74%;-0,21%;-1,64%;-1,64%;-0,13%;1,20%;1,69%;1,67%;3,01%;2,31%;0,99%;0,59%;0,66%;2,03%;0,35%
04/01/2004;-4,69%;1,00%;4,24%;2,70%;1,25%;0,72%;-0,02%;-2,71%;-2,71%;-2,03%;-1,71%;1,74%;1,72%;3,73%;2,53%;1,46%;0,67%;0,46%;0,85%;1,22%
05/01/2004;-4,70%;1,00%;4,39%;2,70%;1,25%;0,88%;0,15%;1,85%;1,86%;-1,09%;0,47%;2,29%;2,09%;4,36%;2,41%;2,36%;1,24%;0,27%;0,52%;0,08%
06/01/2004;-0,91%;1,03%;4,44%;2,70%;1,25%;0,93%;-0,12%;-0,11%;-0,10%;-1,06%;-1,31%;2,90%;2,48%;4,88%;3,11%;1,86%;0,04%;0,55%;1,53%;0,02%
07/01/2004;-4,51%;1,26%;4,34%;2,70%;1,25%;1,05%;0,17%;-1,23%;-1,24%;-0,72%;0,13%;3,17%;2,40%;5,20%;3,23%;2,04%;0,22%;0,66%;-0,13%;-0,03%
08/01/2004;-2,54%;1,43%;4,17%;2,70%;1,50%;1,35%;0,08%;1,49%;1,49%;-0,71%;0,54%;2,94%;2,35%;5,20%;3,09%;1,79%;0,42%;0,32%;0,67%;-0,53%
09/01/2004;0,35%;1,61%;4,11%;2,70%;1,50%;1,45%;-0,10%;1,93%;1,93%;0,45%;1,48%;2,55%;2,39%;5,10%;3,56%;1,89%;0,55%;0,84%;1,68%;-1,21%
10/01/2004;-0,26%;1,76%;3,98%;3,33%;1,75%;1,35%;0,03%;2,86%;2,86%;0,91%;1,33%;2,54%;2,15%;4,16%;3,44%;1,92%;0,44%;0,62%;-0,01%;0,98%
11/01/2004;-1,30%;1,93%;3,87%;3,33%;1,75%;1,32%;0,15%;4,12%;4,12%;4,27%;1,66%;3,19%;2,39%;2,82%;2,97%;1,76%;0,42%;0,45%;1,39%;0,56%
12/01/2004;4,24%;2,16%;3,69%;3,33%;2,00%;1,33%;0,00%;2,01%;2,01%;1,39%;0,34%;3,62%;2,28%;2,31%;2,97%;1,31%;0,29%;0,56%;2,46%;1,54%
01/01/2005;-2,49%;2,28%;3,63%;3,33%;2,00%;1,55%;0,08%;-3,81%;-3,81%;0,92%;-0,26%;3,34%;2,36%;1,80%;2,74%;0,39%;0,10%;0,89%;1,78%;-0,71%
02/01/2005;0,76%;2,50%;3,62%;3,33%;2,00%;1,83%;0,11%;1,71%;1,71%;0,92%;1,06%;2,84%;1,95%;3,84%;2,49%;-0,02%;0,13%;0,53%;0,64%;0,66%
03/01/2005;4,85%;2,63%;3,76%;3,33%;2,25%;1,94%;0,10%;-1,99%;-1,99%;-2,15%;-1,64%;3,05%;2,08%;2,60%;3,28%;0,42%;0,14%;0,46%;2,02%;1,73%
04/01/2005;-0,11%;2,79%;3,57%;3,33%;2,25%;2,09%;0,06%;-0,65%;-0,65%;-0,77%;0,87%;3,21%;2,19%;1,78%;3,48%;0,36%;0,22%;0,74%;0,91%;0,26%
05/01/2005;-0,82%;3,00%;3,41%;3,33%;2,25%;2,03%;0,20%;-4,19%;-4,19%;-2,72%;-1,54%;3,36%;2,09%;1,68%;3,70%;-0,04%;0,27%;0,71%;0,84%;-0,02%
06/01/2005;1,05%;3,04%;3,25%;3,33%;2,50%;1,97%;-0,06%;-1,73%;-1,73%;-1,74%;-1,16%;2,87%;1,99%;1,58%;3,80%;-0,17%;0,50%;1,09%;2,43%;1,31%
07/01/2005;-0,52%;3,26%;3,32%;3,33%;2,75%;1,90%;0,17%;0,39%;2,50%;-0,62%;1,50%;2,54%;2,05%;1,78%;5,36%;0,08%;0,49%;1,04%;0,43%;0,69%
08/01/2005;3,65%;3,50%;3,32%;3,33%;2,75%;1,95%;-0,04%;1,74%;1,82%;0,88%;-1,12%;3,07%;2,15%;1,28%;5,56%;0,68%;0,50%;0,50%;1,56%;0,12%
09/01/2005;13,69%;3,62%;3,16%;3,33%;3,25%;2,25%;0,18%;-2,36%;-2,26%;0,75%;-0,46%;3,65%;2,19%;0,87%;5,98%;0,62%;0,52%;1,12%;2,19%;0,90%
10/01/2005;6,25%;3,78%;3,32%;3,33%;3,75%;2,35%;-0,03%;-0,41%;-0,30%;0,62%;-0,13%;4,74%;2,60%;1,28%;6,31%;1,06%;0,52%;0,35%;0,05%;0,89%
11/01/2005;1,28%;4,00%;3,53%;3,33%;3,75%;2,88%;0,08%;-1,56%;-1,50%;-1,05%;0,23%;4,35%;2,47%;1,28%;5,89%;0,97%;0,25%;0,42%;1,65%;0,06%
12/01/2005;-1,23%;4,16%;3,41%;3,33%;4,00%;2,85%;0,04%;0,48%;0,58%;0,57%;1,73%;3,34%;2,31%;1,58%;5,78%;1,26%;0,40%;1,10%;2,19%;0,17%
01/01/2006;1,57%;4,29%;3,39%;3,33%;4,25%;2,80%;0,03%;2,67%;2,77%;5,41%;2,54%;3,34%;2,27%;2,29%;5,88%;1,73%;0,63%;0,51%;1,60%;-0,30%
02/01/2006;25,08%;4,49%;3,55%;3,33%;4,25%;2,78%;-0,05%;-1,98%;-1,72%;-0,51%;-0,03%;4,02%;2,45%;0,98%;5,52%;1,19%;0,36%;0,83%;0,32%;2,24%
03/01/2006;28,90%;4,59%;3,73%;3,33%;4,50%;2,90%;0,09%;1,75%;2,04%;0,70%;0,48%;3,64%;2,37%;0,98%;5,69%;1,15%;0,21%;0,75%;1,96%;1,54%
04/01/2006;18,25%;4,79%;4,01%;3,33%;4,75%;3,03%;0,11%;4,40%;4,44%;3,70%;2,29%;3,42%;2,21%;1,49%;6,08%;1,08%;0,55%;1,18%;1,03%;1,50%
05/01/2006;-9,50%;4,94%;4,06%;3,33%;4,75%;2,86%;0,09%;1,46%;1,33%;-1,55%;0,20%;3,61%;2,46%;1,59%;6,26%;1,09%;0,10%;0,35%;0,96%;2,44%
06/01/2006;-4,33%;4,99%;4,08%;3,33%;5,00%;2,85%;0,24%;0,08%;0,48%;0,33%;0,04%;3,98%;2,52%;1,90%;5,92%;1,38%;0,56%;0,73%;1,91%;0,41%
07/01/2006;-18,07%;5,24%;4,10%;3,33%;5,00%;2,95%;0,06%;-0,12%;0,16%;0,75%;0,28%;4,18%;2,48%;1,59%;4,34%;1,09%;0,60%;0,09%;0,39%;0,31%
08/01/2006;16,28%;5,25%;3,97%;3,33%;5,00%;3,20%;0,05%;0,34%;0,53%;0,80%;0,44%;4,10%;2,47%;1,69%;3,79%;0,67%;0,45%;0,59%;1,20%;2,10%
09/01/2006;7,24%;5,25%;3,84%;3,33%;5,00%;3,16%;0,22%;-0,80%;-0,20%;0,26%;-0,71%;3,93%;2,32%;1,49%;2,72%;0,44%;0,39%;1,24%;1,21%;0,78%
10/01/2006;-2,88%;5,25%;3,88%;3,33%;5,00%;3,24%;0,12%;0,84%;1,21%;2,52%;2,08%;2,01%;1,79%;1,19%;2,81%;0,42%;0,71%;0,22%;0,27%;2,24%
11/01/2006;23,75%;5,25%;3,80%;3,33%;5,00%;3,01%;0,00%;3,74%;4,35%;2,21%;1,14%;1,41%;1,61%;1,80%;3,46%;0,54%;0,50%;0,86%;1,43%;1,59%
12/01/2006;18,75%;5,24%;3,90%;3,33%;5,00%;3,07%;-0,09%;-0,40%;-0,07%;1,17%;0,34%;1,97%;1,89%;2,81%;3,47%;0,81%;0,61%;1,63%;2,39%;3,05%
01/01/2007;38,52%;5,25%;4,10%;3,33%;4,75%;3,03%;-0,04%;-1,29%;-0,88%;1,98%;-0,22%;2,52%;1,93%;2,20%;3,04%;-0,58%;0,54%;0,63%;1,71%;1,42%
02/01/2007;9,25%;5,26%;4,12%;3,33%;4,50%;2,95%;-0,31%;1,24%;1,72%;1,82%;0,14%;2,08%;1,87%;2,71%;2,41%;-0,04%;0,22%;0,51%;2,04%;2,64%
03/01/2007;-5,83%;5,26%;4,02%;3,33%;4,50%;2,53%;0,09%;1,01%;1,11%;5,35%;0,85%;2,42%;1,87%;3,33%;1,97%;0,23%;0,47%;1,28%;1,52%;2,47%
04/01/2007;-13,76%;5,25%;4,25%;3,33%;4,00%;2,41%;0,21%;2,37%;2,71%;-1,40%;0,05%;2,80%;1,95%;3,02%;1,84%;0,45%;1,01%;0,37%;0,88%;1,65%
05/01/2007;17,06%;5,25%;4,37%;3,33%;3,50%;2,12%;0,26%;-1,17%;-0,42%;0,10%;-0,31%;2,59%;1,93%;3,44%;1,93%;1,26%;0,19%;0,98%;0,65%;1,76%
06/01/2007;-5,25%;5,25%;4,66%;3,33%;3,50%;2,29%;0,26%;0,92%;1,37%;4,06%;0,05%;2,71%;1,89%;4,37%;1,93%;1,71%;0,46%;1,00%;2,19%;1,43%
07/01/2007;-11,39%;5,26%;4,63%;3,33%;3,25%;2,42%;0,06%;1,05%;1,59%;5,90%;1,08%;2,69%;1,92%;5,63%;1,83%;2,97%;0,42%;1,01%;1,60%;-0,44%
08/01/2007;0,05%;5,02%;4,43%;3,33%;3,25%;2,36%;0,62%;0,28%;0,65%;-7,37%;0,02%;2,32%;1,80%;6,58%;1,12%;3,45%;1,04%;0,60%;0,86%;0,00%
09/01/2007;15,25%;4,94%;4,37%;3,33%;3,25%;2,18%;-0,99%;3,68%;4,22%;0,99%;1,66%;1,90%;1,77%;6,36%;2,03%;3,01%;0,25%;0,87%;1,52%;0,62%
10/01/2007;1,74%;4,76%;4,40%;3,33%;3,25%;2,16%;-0,07%;1,40%;1,87%;0,64%;2,51%;2,83%;2,17%;6,58%;2,53%;4,06%;0,19%;1,48%;0,28%;0,55%
11/01/2007;-8,71%;4,49%;4,25%;3,33%;3,25%;2,22%;-0,18%;0,87%;1,87%;2,99%;-0,15%;3,61%;2,59%;7,00%;3,04%;4,86%;0,33%;0,77%;1,41%;0,34%
12/01/2007;-4,66%;4,24%;4,38%;3,33%;3,25%;2,05%;-0,07%;-0,40%;0,88%;2,09%;0,36%;4,37%;3,09%;6,58%;3,25%;3,82%;0,40%;0,45%;0,91%;0,28%
01/01/2008;-8,94%;3,94%;4,23%;4,14%;3,25%;1,50%;-0,36%;1,55%;3,27%;-4,34%;1,38%;4,11%;3,11%;7,11%;4,27%;6,63%;0,45%;1,15%;3,58%;0,71%
02/01/2008;-21,42%;2,98%;4,14%;4,14%;3,25%;1,33%;-0,25%;1,88%;2,89%;0,47%;1,29%;4,29%;3,27%;8,80%;5,41%;6,56%;1,13%;0,87%;0,76%;2,18%
03/01/2008;-22,08%;2,61%;4,07%;4,14%;3,25%;0,97%;1,13%;5,06%;6,55%;-0,14%;2,50%;4,14%;3,33%;8,37%;5,38%;6,72%;0,86%;0,42%;0,48%;2,31%
04/01/2008;1,07%;2,28%;4,28%;4,14%;3,25%;1,07%;0,07%;-0,92%;-0,59%;-0,51%;1,56%;3,97%;3,66%;8,59%;6,13%;7,57%;0,56%;1,05%;1,48%;1,61%
05/01/2008;-20,73%;1,98%;4,42%;4,14%;3,25%;1,04%;0,77%;0,36%;1,02%;-1,82%;0,35%;3,90%;3,34%;7,83%;7,58%;7,53%;0,16%;0,77%;1,61%;-1,21%
06/01/2008;-3,55%;2,00%;4,81%;4,14%;3,25%;1,14%;3,67%;5,01%;6,36%;0,75%;3,88%;4,09%;3,74%;7,18%;8,77%;7,54%;0,23%;0,33%;1,59%;0,39%
07/01/2008;13,01%;2,01%;4,81%;4,14%;3,50%;0,76%;-0,46%;-1,43%;-1,10%;-0,72%;-1,04%;4,94%;4,03%;6,33%;9,17%;6,58%;0,60%;0,66%;0,73%;1,51%
08/01/2008;19,44%;2,00%;4,50%;4,14%;3,75%;1,11%;-1,43%;-7,29%;-7,52%;-3,46%;-4,80%;5,50%;4,12%;4,97%;6,52%;6,43%;0,19%;0,48%;0,56%;-0,84%
09/01/2008;-15,28%;1,81%;4,50%;4,14%;3,75%;1,72%;0,45%;-3,38%;-3,33%;1,55%;-0,87%;5,31%;3,90%;4,65%;6,08%;6,75%;0,89%;0,99%;0,90%;2,17%
10/01/2008;-24,01%;0,97%;4,42%;4,14%;3,75%;1,19%;1,81%;-8,15%;-8,08%;-1,66%;-1,48%;4,95%;3,71%;4,03%;3,85%;6,42%;1,35%;1,85%;0,05%;2,12%
11/01/2008;-9,31%;0,39%;4,20%;3,06%;3,75%;0,74%;0,43%;0,16%;0,36%;-0,76%;-1,61%;3,73%;3,23%;2,48%;2,17%;5,54%;0,63%;0,31%;1,22%;0,07%
12/01/2008;0,28%;0,16%;3,89%;2,79%;2,75%;0,70%;3,01%;13,40%;13,45%;5,04%;8,83%;1,10%;2,19%;1,26%;0,39%;5,37%;2,20%;0,08%;3,60%;0,48%
01/01/2009;-3,93%;0,15%;4,10%;2,79%;2,00%;0,47%;0,01%;-8,57%;-8,73%;-0,53%;-5,06%;-0,02%;1,66%;0,96%;-0,40%;4,27%;1,00%;0,59%;4,41%;1,35%
02/01/2009;-18,95%;0,22%;4,20%;2,79%;1,50%;0,43%;-0,02%;-0,90%;-0,97%;-3,38%;-2,54%;-0,11%;1,18%;-1,60%;-0,10%;3,24%;0,36%;0,28%;2,13%;0,73%
03/01/2009;14,21%;0,18%;4,14%;2,79%;1,50%;0,43%;1,75%;6,41%;6,50%;3,74%;3,45%;0,01%;1,24%;-1,20%;-0,24%;2,57%;0,80%;-0,23%;4,72%;2,61%
04/01/2009;14,59%;0,15%;4,09%;2,79%;1,25%;0,31%;-0,02%;-0,18%;0,04%;0,59%;2,80%;-0,45%;0,63%;-1,50%;-0,99%;0,32%;0,04%;0,65%;1,86%;-0,01%
05/01/2009;27,99%;0,18%;4,13%;2,79%;1,25%;0,35%;-0,04%;6,96%;6,80%;2,78%;2,49%;-0,58%;0,65%;-1,40%;-3,31%;0,24%;0,69%;-0,06%;1,43%;0,26%
06/01/2009;8,90%;0,21%;4,32%;2,79%;1,25%;0,37%;-0,01%;-0,84%;-0,88%;0,72%;-0,24%;-1,02%;0,07%;-1,70%;-4,06%;-0,02%;0,12%;0,16%;3,78%;1,76%
07/01/2009;4,12%;0,16%;4,09%;2,79%;1,25%;0,35%;0,23%;1,76%;1,73%;0,33%;0,87%;-1,23%;-0,11%;-1,79%;-4,41%;-0,25%;0,05%;0,36%;0,73%;0,60%
08/01/2009;17,14%;0,16%;3,89%;2,79%;1,25%;0,35%;0,03%;0,61%;0,64%;0,05%;-0,17%;-1,96%;-0,62%;-1,20%;-1,02%;-0,28%;0,00%;-0,08%;0,63%;-0,17%
09/01/2009;6,24%;0,15%;3,87%;2,79%;1,25%;0,38%;0,12%;2,25%;2,31%;1,86%;2,42%;-1,48%;-0,14%;-0,81%;-1,00%;-0,41%;-0,01%;0,15%;1,51%;0,99%
10/01/2009;1,07%;0,12%;3,80%;2,79%;1,25%;0,55%;0,56%;1,11%;1,10%;0,51%;1,18%;-1,38%;-0,32%;-0,61%;0,34%;-0,91%;0,32%;0,08%;0,21%;0,23%
11/01/2009;-14,14%;0,12%;3,84%;2,79%;1,25%;0,50%;2,48%;5,07%;5,07%;3,16%;3,69%;-0,22%;-0,12%;0,50%;1,92%;-0,79%;0,35%;-0,18%;1,36%;0,81%
12/01/2009;-1,85%;0,12%;3,87%;2,79%;1,25%;0,60%;0,48%;-4,65%;-4,65%;0,11%;-1,02%;1,91%;0,47%;1,70%;3,50%;-0,53%;-0,06%;0,33%;1,95%;1,65%
01/01/2010;-2,59%;0,11%;4,10%;2,79%;1,25%;0,47%;0,00%;-3,16%;-3,16%;0,56%;-0,13%;2,81%;0,92%;1,40%;4,11%;0,20%;-0,45%;0,15%;3,20%;0,87%
02/01/2010;3,10%;0,13%;4,11%;2,79%;1,25%;0,39%;3,12%;1,45%;1,46%;3,49%;3,19%;2,62%;0,91%;2,62%;3,66%;0,95%;0,58%;0,10%;1,67%;-0,20%
03/01/2010;0,47%;0,16%;3,99%;2,79%;1,25%;0,39%;0,21%;-0,74%;-0,74%;2,39%;0,70%;2,15%;0,82%;2,20%;3,45%;1,61%;-0,03%;0,02%;2,18%;1,69%
04/01/2010;8,64%;0,20%;4,15%;2,79%;1,25%;0,44%;-0,60%;-2,16%;-2,15%;-0,59%;1,46%;2,29%;1,55%;2,62%;2,96%;3,20%;0,36%;0,42%;1,02%;0,14%
05/01/2010;-6,44%;0,20%;3,68%;2,79%;1,25%;0,34%;-0,53%;-7,96%;-8,00%;-1,09%;-2,56%;2,21%;1,61%;2,82%;3,38%;3,24%;0,64%;0,23%;1,03%;0,29%
06/01/2010;-0,06%;0,18%;3,69%;2,79%;1,25%;0,37%;1,09%;0,52%;1,20%;1,44%;1,04%;2,00%;1,69%;2,72%;3,32%;2,71%;0,22%;0,36%;1,59%;0,24%
07/01/2010;-2,61%;0,18%;3,61%;2,79%;1,50%;0,32%;-0,16%;6,60%;6,73%;0,38%;2,71%;1,12%;1,48%;3,13%;3,48%;3,14%;0,11%;0,21%;0,02%;0,74%
08/01/2010;-7,86%;0,19%;3,44%;2,79%;1,75%;0,33%;2,31%;-0,63%;-1,12%;5,48%;2,69%;1,34%;1,72%;3,23%;3,28%;3,25%;0,58%;0,45%;2,00%;0,49%
09/01/2010;-0,12%;0,19%;3,49%;2,79%;1,75%;0,34%;-0,21%;7,35%;9,21%;2,84%;2,87%;1,15%;1,57%;3,43%;2,99%;3,67%;0,36%;0,00%;1,30%;0,95%
10/01/2010;-0,42%;0,19%;3,33%;2,79%;1,75%;0,41%;0,15%;2,33%;2,65%;1,51%;1,81%;1,12%;1,86%;4,26%;2,90%;3,51%;0,57%;0,24%;0,47%;1,96%
11/01/2010;-0,23%;0,19%;3,72%;2,79%;1,75%;0,41%;0,09%;-6,86%;-6,81%;-0,72%;-1,91%;1,17%;1,95%;5,09%;2,80%;3,80%;0,24%;0,20%;1,51%;0,70%
12/01/2010;7,32%;0,18%;4,07%;3,25%;2,00%;0,45%;-0,02%;3,05%;4,25%;0,38%;2,85%;1,08%;1,92%;4,57%;3,06%;4,59%;0,36%;0,23%;2,18%;0,41%
01/01/2011;5,35%;0,17%;3,94%;3,25%;2,25%;0,42%;0,00%;2,35%;2,12%;-2,72%;0,32%;1,44%;2,22%;5,00%;3,04%;5,51%;0,24%;0,16%;1,11%;0,79%
02/01/2011;-9,64%;0,16%;4,48%;3,25%;2,25%;0,40%;7,08%;7,93%;8,48%;8,16%;7,72%;1,70%;2,33%;5,07%;2,87%;4,99%;0,72%;0,10%;0,31%;0,01%
03/01/2011;-0,05%;0,14%;4,49%;3,25%;2,50%;0,34%;0,02%;2,67%;3,03%;1,15%;0,85%;2,12%;2,43%;5,60%;3,14%;5,04%;0,64%;0,14%;2,99%;1,72%
04/01/2011;4,11%;0,10%;4,66%;3,25%;2,75%;0,45%;-1,48%;2,93%;3,85%;-0,15%;1,45%;2,62%;2,68%;5,50%;4,05%;4,46%;0,69%;-0,03%;-0,10%;2,23%
05/01/2011;-12,23%;0,09%;4,37%;3,25%;2,75%;0,41%;-0,34%;-3,06%;-2,89%;-1,82%;-1,07%;3,08%;2,84%;5,70%;4,20%;4,48%;0,78%;0,30%;0,80%;0,06%
06/01/2011;2,65%;0,09%;4,38%;3,25%;3,00%;0,40%;0,05%;0,81%;1,04%;-1,25%;0,53%;3,46%;2,73%;6,67%;4,06%;5,24%;0,83%;0,16%;2,28%;0,19%
