,Date,ls_vnindex,ls_US,ls_EU,ls_TQ,ls_TL,ls_SI,fx_US,fx_EU,fx_TQ,fx_TL ,fx_SI,cpi_ US,cpi_ EU,cpi_ TQ,cpi_ TL,cpi_ SI,M2_US,M2_EU,M2_TQ,M2_SI
190,2016-01-12,-0.0003007202249387664,0.0054,0.0128514364734369,0.028999999999999998,0.015,0.0113,0.005742049469964705,-0.0011933224014988308,-0.009724106785999886,0.0015327495977408567,-0.004498547907400563,0.016843334719788938,0.00589941005899397,0.01988071570576544,0.0113,0.002,0.002488675766519677,0.004492266070836859,0.012829452806950137,0.004488938489980221
191,2017-01-01,0.04874637147111471,0.006500000000000001,0.0130882896678748,0.028999999999999998,0.015,0.0097,-0.007905138339920903,0.0188026618653947,0.028610237513295944,0.013588364934356889,0.019261759494584085,0.020507989115119862,0.010996700989702957,0.02571711177052438,0.0155,0.006,0.005373699148533584,0.0046419308669494175,0.016695359604137927,0.0037568890531971544
192,2017-01-02,0.019375286828820615,0.0066,0.014377786982488401,0.028999999999999998,0.015,0.009300000000000001,0.007082779991146593,-0.01353523425263048,-0.012055501188158346,0.011407498485239476,0.011627505553086559,0.025103933482571117,0.017248376623376638,0.00778967867575453,0.0144,0.007000000000000001,0.004863176120751378,0.005106668531725811,0.004421146143395616,-0.0015191445714819451
193,2017-01-03,0.01620731861731306,0.0079,0.0145427677132092,0.028999999999999998,0.015,0.0097,0.0,0.007186768697444945,0.004743135062326598,0.01718112987769338,0.004352098834760509,0.028103616813294208,0.01954826293932932,0.009784735812133016,0.0076,0.007000000000000001,0.0051393082161506065,0.006086991660693819,0.01054795697517874,0.017212102062335255
194,2017-01-04,-0.006340767814373205,0.009000000000000001,0.012598273167443799,0.028999999999999998,0.015,0.0103,-0.0004395604395603936,0.022458833725393035,0.02144973066743483,-0.007376937695040442,-0.0001601194444359466,0.0244119623655914,0.015306122448979664,0.0117647058823529,0.0038,0.004,0.004524212362205127,0.003122967894864326,-0.0020490656315921285,0.0005121821700222462
195,2017-01-05,0.027991027266520918,0.0091,0.0117324886725221,0.028999999999999998,0.015,0.0096,-0.0013192612137202797,0.03039733281668755,0.042532471307083375,0.014821626424611933,0.008728951921077366,0.02176223471915395,0.018967754816811233,0.0167322834645669,-0.0004,0.014000000000000002,0.004325760161455472,0.0012301616279914995,0.003150063655811275,0.0009432583366211222
196,2017-01-06,0.05238405031037385,0.0104,0.0107060542346137,0.028999999999999998,0.015,0.010700000000000001,-0.00044033465433734875,0.017086919222980113,0.021662782665562652,0.0028011619019132628,0.004399813144098985,0.018563431667619756,0.01381847102097633,0.0167652859960552,-0.0005,0.005,0.0017583132013858638,0.0053605423924123485,0.01868543440921755,-0.000382837584509077
197,2017-01-07,0.009118188725900422,0.0115,0.0120681184372731,0.028999999999999998,0.015,0.011899999999999999,0.0011453744493392648,0.036322671339713786,0.044845670109060265,0.020091652187491427,0.017135029335216156,0.01640565809959127,0.01299990076411639,0.013779527559055094,0.0017,0.006,0.004719938050813166,0.002149641871994401,-0.00140128956103025,0.004934865665283006
198,2017-01-08,-0.0010082317656817663,0.0116,0.010440530823583401,0.028999999999999998,0.015,0.011699999999999999,-0.0004840271055178702,0.005964857512375632,0.02660692416118482,0.003131948678242402,-0.0011612977200282648,0.017251073506566073,0.013362584762664609,0.017699115044247815,0.0032,0.004,0.004294050721180387,0.005227967655957899,0.009920198398402524,0.0016506968626004426
199,2017-01-09,0.027671316878736807,0.0115,0.0111492206238135,0.028999999999999998,0.015,0.012,0.00022011886418660254,-0.008323450851740577,-0.017937197025828966,-0.004282672787362829,-0.00100065426705509,0.0192812155729698,0.015447478572852225,0.016601562499999778,0.0086,0.004,0.003318228329191708,0.002519429051096145,0.006385694284980037,0.0011168348875043588
